Category,Business Impact,Recommendation,Subscription ID,Subscription Name,Resource Group,Resource Name,Resource Type,Updated Date,Potential Benefits,Potential Annual Cost Savings,Potential Cost Savings Currency
Security,High,SQL servers on machines should have vulnerability findings resolved,a612befa-4bc0-40c8-b3af-5747fad3d011,Azure subscription 1 (a612befa-4bc0-40c8-b3af-5747fad3d011),vstsrg-sexcombill-6233,sexcom707edge,Virtual machine,2021-09-06T02:14:01.931Z,Prevent potential security breaches
Cost,High,Buy virtual machine reserved instances to save money over pay-as-you-go costs,a612befa-4bc0-40c8-b3af-5747fad3d011,Azure subscription 1 (a612befa-4bc0-40c8-b3af-5747fad3d011),,Standard_DS12_v2 virtual machines in centralus,Virtual machine,2021-09-06T12:01:52.282Z,"1,744.06 USD savings","1,744.06",USD
Cost,High,(Preview) Consider SQL PaaS DB reserved capacity to save over your pay-as-you-go costs,a612befa-4bc0-40c8-b3af-5747fad3d011,Azure subscription 1 (a612befa-4bc0-40c8-b3af-5747fad3d011),,a612befa-4bc0-40c8-b3af-5747fad3d011,Subscription,2021-09-06T04:29:34.975Z,"1,459.00 USD savings","1,459.00",USD
Cost,High,Right-size or shutdown underutilized virtual machines,a612befa-4bc0-40c8-b3af-5747fad3d011,Azure subscription 1 (a612befa-4bc0-40c8-b3af-5747fad3d011),vstsrg-sexcombill-6233,sexcom707edge,Virtual machine,2021-09-06T13:14:45.985Z,"2,356.99 USD savings","2,356.99",USD
Reliability,Medium,Enable virtual machine replication to protect your applications from regional outage,a612befa-4bc0-40c8-b3af-5747fad3d011,Azure subscription 1 (a612befa-4bc0-40c8-b3af-5747fad3d011),vstsrg-sexcombill-6233,sexcom707edge,Virtual machine,2021-09-06T12:14:07.386Z,Ensure business continuity in case of any Azure region outage
